# 4자성어 한국어 데이터 — 열: 성어 / 병음(비우면 CC-CEDICT) / 뜻 / 직역 / 대응 한국 사자성어 / 유래
鹏程万里		앞날이 창창하다, 전도가 양양하다	붕새가 만 리를 날다	붕정만리(鵬程萬里)	『장자』— 붕새가 한 번 날아 구만 리를 간다는 이야기에서.
一长一短		이러쿵저러쿵 길게 늘어놓다	하나는 길고 하나는 짧다
刻舟求剑		변화를 모르고 옛 방식만 고집하다	배에 표시하고 칼을 찾다	각주구검(刻舟求劍)	『여씨춘추』— 배에서 칼을 빠뜨린 사람이 뱃전에 표시해 두고 배가 멈춘 뒤 그 자리에서 칼을 찾았다는 이야기.
出口成章		말이 곧 문장이 되다, 말솜씨가 빼어나다	입을 열면 문장이 되다
势不可当		기세를 막을 수 없다	기세를 당해낼 수 없다
眉开眼笑		희색이 만면하다	눈썹이 펴지고 눈이 웃다
横七竖八		어지럽게 널브러져 있다	가로 일곱 세로 여덟
举世无双		세상에 둘도 없다	온 세상에 짝이 없다	거세무쌍(擧世無雙)
可歌可泣		노래할 만하고 눈물겹다, 감동적이다	노래할 만하고 울 만하다	가가가읍(可歌可泣)
哄堂大笑		좌중이 한꺼번에 웃음을 터뜨리다	온 방이 크게 웃다
千军万马		엄청난 대군, 굉장한 기세	천 명의 군사 만 마리의 말	천군만마(千軍萬馬)
鸦雀无声		쥐 죽은 듯 조용하다	까마귀도 참새도 소리가 없다	아작무성(鴉雀無聲)
任人宰割		남에게 짓밟히도록 내버려 두다	남이 잡고 베도록 맡기다
废寝忘食		침식을 잊고 몰두하다	잠을 폐하고 밥을 잊다	폐침망식(廢寢忘食)
左顾右盼		이리저리 두리번거리다	왼쪽을 돌아보고 오른쪽을 살피다	좌고우면(左顧右眄)
有声有色		생동감 있고 인상적이다	소리도 있고 빛깔도 있다	유성유색(有聲有色)
众志成城		여럿의 뜻이 모이면 성벽이 된다	뭇 뜻이 성을 이루다	중지성성(衆志成城)
开天辟地		천지개벽, 유사 이래 처음	하늘을 열고 땅을 가르다	개천벽지(開天闢地)	반고가 혼돈을 갈라 하늘과 땅을 만들었다는 창세 신화에서.
顾全大局		큰 판을 먼저 생각하다	대국을 온전히 돌보다	고전대국(顧全大局)
水涨船高		바탕이 오르면 딸린 것도 오른다	물이 불면 배도 높아진다	수장선고(水漲船高)
无恶不作		온갖 악행을 다 저지르다	하지 않는 악이 없다	무악부작(無惡不作)
半信半疑		반신반의하다	반은 믿고 반은 의심하다	반신반의(半信半疑)
衣食住行		의식주와 교통, 일상생활 전반	옷·밥·집·다님
敬而远之		존경하되 가까이하지 않다	공경하되 멀리하다	경이원지(敬而遠之)	『논어』— 귀신은 공경하되 멀리하라(敬鬼神而遠之)는 말에서.
改邪归正		잘못을 고쳐 바른길로 돌아오다	사악함을 고쳐 바름으로 돌아가다	개사귀정(改邪歸正)
似是而非		그럴듯하지만 틀리다	옳은 듯하나 그르다	사시이비(似是而非)
一言一行		말 한마디 행동 하나	한 마디 말과 한 가지 행동	일언일행(一言一行)
大大咧咧		털털하고 무심하다	큼직큼직 대충대충
鹤立鸡群		무리 중에 홀로 뛰어나다	닭 무리에 선 학	군계일학(群鷄一鶴)	진나라 혜소가 사람들 사이에 있으니 닭 무리 속의 학 같았다는 평에서.
峰回路转		막힌 듯하다 길이 열리다, 국면이 반전되다	봉우리를 돌자 길이 트이다
同舟共济		한배를 타고 함께 건너다, 어려움을 함께 헤치다	같은 배로 함께 건너다	동주공제(同舟共濟)	『손자』— 오나라와 월나라 사람도 한배를 타면 서로 돕는다는 말에서.
千变万化		천변만화, 끝없이 변하다	천 번 변하고 만 번 바뀌다	천변만화(千變萬化)
千钧一发		일촉즉발의 위기	천 근이 머리카락 하나에 매달리다	위기일발(危機一髮)
光明磊落		떳떳하고 정정당당하다	밝고 반듯하다	광명뇌락(光明磊落)
化险为夷		위기를 무사히 넘기다	험한 것을 평탄하게 바꾸다	화험위이(化險爲夷)
夸夸其谈		허풍을 늘어놓다	떠벌리며 말하다
垂头丧气		풀이 죽어 고개를 떨구다	머리를 늘어뜨리고 기가 죽다	수두상기(垂頭喪氣)
争分夺秒		촌각을 다투다	분을 다투고 초를 빼앗다	쟁분탈초(爭分奪秒)
杂乱无章		뒤죽박죽 두서가 없다	어지럽고 조리가 없다	잡란무장(雜亂無章)
可乘之机		파고들 만한 틈	올라탈 만한 기회	가승지기(可乘之機)
依依不舍		차마 헤어지지 못하다	연연하여 놓지 못하다	의의불사(依依不捨)
大有可为		앞날이 크게 유망하다	크게 해볼 만하다
家家户户		집집마다	집집 문마다	가가호호(家家戶戶)
风和日丽		바람은 부드럽고 볕은 곱다	바람은 온화하고 해는 곱다	풍화일려(風和日麗)
朝夕相处		아침저녁으로 늘 함께 지내다	아침저녁으로 함께 지내다	조석상처(朝夕相處)
前无古人		전례가 없다	앞선 옛사람이 없다	전무고인(前無古人)
美中不足		옥에 티	아름다움 가운데 모자란 점	미중부족(美中不足)
守株待兔		요행만 바라며 헛되이 기다리다	그루터기를 지키며 토끼를 기다리다	수주대토(守株待兔)	『한비자』— 나무에 부딪혀 죽은 토끼를 얻은 농부가 밭일을 버리고 그루터기만 지켰다는 이야기.
心急如焚		속이 타들어 가다	마음이 불타듯 급하다	심급여분(心急如焚)
亡羊补牢		늦게라도 잘못을 바로잡다	양을 잃고 우리를 고치다	망양보뢰(亡羊補牢)	『전국책』— 양을 잃은 뒤라도 우리를 고치면 늦지 않다는 말에서.
一路平安		가시는 길 평안하시길	가는 길 내내 평안하기를	일로평안(一路平安)
酸甜苦辣		인생의 온갖 맛, 산전수전	시고 달고 쓰고 맵다	산전수전(山戰水戰)과 통함
不约而同		약속하지 않았는데 뜻이 맞다	약속 없이 같아지다	불약이동(不約而同)
因人而异		사람마다 다르다	사람에 따라 달라지다	인인이이(因人而異)
灵机一动		문득 좋은 수가 떠오르다	영묘한 기틀이 한 번 움직이다	영기일동(靈機一動)
此起彼伏		여기서 일고 저기서 잦아들다, 끊임없이 이어지다	이쪽이 일면 저쪽이 엎드리다	차기피복(此起彼伏)
成群结队		떼를 지어 몰려다니다	무리를 이루고 대열을 짓다	성군결대(成群結隊)
无所作为		아무것도 이루지 못하다	하는 바가 없다	무소작위(無所作爲)
目中无人		안하무인이다	눈 속에 사람이 없다	안하무인(眼下無人)
呼风唤雨		바람과 비를 부르듯 세를 좌우하다	바람을 부르고 비를 부르다	호풍환우(呼風喚雨)
面面俱到		빈틈없이 두루 챙기다	모든 면이 다 갖추어지다	면면구도(面面俱到)
素不相识		서로 전혀 모르는 사이다	본래 서로 알지 못하다	소불상식(素不相識)
耳熟能详		귀에 익어 훤히 꿰다	귀에 익어 자세히 말할 수 있다	이숙능상(耳熟能詳)
熙熙攘攘		북적북적 붐비다	오가는 사람으로 시끌벅적하다	희희양양(熙熙攘攘)
寥寥无几		몇 되지 않는다	쓸쓸하여 몇 없다	요요무기(寥寥無幾)
恰如其分		꼭 알맞다, 적절하다	그 분수에 꼭 들어맞다	흡여기분(恰如其分)
天经地义		너무나 당연한 이치	하늘의 법이요 땅의 이치	천경지의(天經地義)
耐人寻味		곱씹을수록 뜻이 깊다	사람이 음미할 만하다	내인심미(耐人尋味)
弄虚作假		속임수를 쓰다	헛것을 꾸미고 거짓을 짓다	농허작가(弄虛作假)
容光焕发		얼굴에 화색이 돌다	얼굴빛이 환하게 피어나다	용광환발(容光煥發)
吃喝玩乐		먹고 마시고 놀며 즐기다	먹고 마시고 놀고 즐기다	주색잡기(酒色雜技)와 통함
喜出望外		뜻밖의 기쁨을 만나다	기쁨이 바라던 밖에서 나오다	희출망외(喜出望外)
自私自利		제 잇속만 차리다	스스로 사사롭고 스스로 이롭다	자사자리(自私自利)
恼羞成怒		창피한 나머지 화를 내다	부끄러움이 노여움이 되다	뇌수성노(惱羞成怒)
持之以恒		끈기 있게 꾸준히 하다	한결같음으로 지켜 나가다	지지이항(持之以恒)
古今中外		동서고금	예와 지금, 중국과 밖	동서고금(東西古今)
艰苦奋斗		고생을 무릅쓰고 분투하다	간고하게 분투하다	간고분투(艱苦奮鬪)
五颜六色		색색으로 알록달록하다	다섯 얼굴 여섯 빛깔	오색찬란(五色燦爛)
自相矛盾		앞뒤가 서로 어긋나다	제 창과 제 방패가 부딪히다	자가당착(自家撞着)·모순(矛盾)	『한비자』— 무엇이든 뚫는 창과 무엇도 막는 방패를 함께 팔던 초나라 사람 이야기.
夜以继日		밤낮없이 이어 하다	밤으로 낮을 잇다	야이계일(夜以繼日)
精疲力竭		기진맥진하다	정신도 지치고 힘도 다하다	기진맥진(氣盡脈盡)
目不转睛		눈 하나 깜빡 않고 응시하다	눈동자를 굴리지 않다	목불전정(目不轉睛)
密不可分	mì bù kě fēn	떼려야 뗄 수 없다	빽빽하여 나눌 수 없다	밀불가분(密不可分)
异口同声		입을 모아 한목소리로 말하다	다른 입에서 같은 소리	이구동성(異口同聲)
哭笑不得		울 수도 웃을 수도 없다	울지도 웃지도 못하다	곡소부득(哭笑不得)
异想天开		터무니없는 공상을 하다	기이한 생각이 하늘을 열다	기상천외(奇想天外)
触目惊心		보기만 해도 소름이 돋다	눈에 닿자 마음이 놀라다	촉목경심(觸目驚心)
