深入人心		사람들의 마음속에 깊이 파고들다	사람 마음 깊이 들어가다	심입인심(深入人心)
义无反顾		의로운 일이면 뒤돌아보지 않다	의로움에 돌아봄이 없다	의무반고(義無反顧)
事倍功半		노력에 비해 성과가 적다	힘은 배로 들고 공은 절반	사배공반(事倍功半)
事半功倍		적은 노력으로 큰 성과를 내다	힘은 절반 공은 배	사반공배(事半功倍)
五光十色		빛깔이 화려하고 다채롭다	다섯 빛 열 색	오광십색(五光十色)
人山人海		인산인해	사람이 산을 이루고 바다를 이루다	인산인해(人山人海)
众说纷纭		의견이 분분하다	뭇 말이 어지럽다	중구난방(衆口難防)과 통함
信口开河		입에서 나오는 대로 지껄이다	입 가는 대로 봇물 터뜨리듯	신구개하(信口開河)
入乡随俗		그 고장에 가면 그 풍속을 따르라	마을에 들면 풍속을 따르다	입향순속(入鄕循俗)
全神贯注		온 정신을 한곳에 쏟다	온 정신을 꿰어 쏟다	전신관주(全神貫注)
出类拔萃		무리 중에 뛰어나다	무리에서 벗어나 빼어나다	출류발췌(出類拔萃)	『맹자』— 성인은 같은 부류에서 나왔으나 그 무리에서 빼어나다는 말에서.
凿壁偷光		어려운 형편에도 애써 공부하다	벽을 뚫어 이웃 불빛을 훔치다	착벽투광(鑿壁偸光)	한나라 광형이 등불 살 돈이 없어 벽을 뚫고 옆집 불빛으로 책을 읽었다는 이야기.
功亏一篑		다 된 일을 마지막에 그르치다	흙 한 삼태기가 모자라 산을 못 이루다	공휴일궤(功虧一簣)	『서경』— 아홉 길 산을 쌓다가 삼태기 하나가 모자라 무너뜨린다는 말에서.
助人为乐		남을 돕는 것을 낙으로 삼다	남을 돕는 것으로 즐거움을 삼다	조인위락(助人爲樂)
势均力敌		힘이 팽팽하게 맞서다	기세가 고르고 힘이 맞먹다	세균역적(勢均力敵)
博学多才		널리 배우고 재주가 많다	널리 배우고 재주가 많다	박학다재(博學多才)
卧薪尝胆		원수를 갚으려 온갖 고생을 견디다	섶에 눕고 쓸개를 맛보다	와신상담(臥薪嘗膽)	월왕 구천이 오나라에 진 치욕을 잊지 않으려 섶에 눕고 쓸개를 핥았다는 고사.
取长补短		장점을 취해 단점을 메우다	긴 것을 취해 짧은 것을 보태다	취장보단(取長補短)
口若悬河		말이 청산유수다	입이 폭포수 같다	구약현하(口若懸河)
叶公好龙		겉으로만 좋아하는 척하다	섭공이 용을 좋아하다	섭공호룡(葉公好龍)	용을 그리도 좋아하던 섭공이 진짜 용이 나타나자 혼비백산해 달아났다는 이야기.
同心同德		한마음 한뜻으로 뭉치다	마음을 같이하고 덕을 같이하다	동심동덕(同心同德)
同甘共苦		단맛 쓴맛을 함께하다	단 것을 함께하고 쓴 것을 함께하다	동감공고(同甘共苦)
名不虚传		명성이 헛되지 않다	이름이 헛되이 전해지지 않다	명불허전(名不虛傳)
名落孙山		시험에 낙방하다	이름이 손산의 뒤로 떨어지다	명락손산(名落孫山)	과거에서 꼴찌로 붙은 손산이, 낙방한 이웃에게 "그대 이름은 내 뒤에 있다"고 알린 이야기.
后来居上		나중에 온 사람이 앞서다	뒤에 온 자가 위에 자리하다	후래거상(後來居上)
唇亡齿寒		서로 없으면 함께 위태롭다	입술이 없으면 이가 시리다	순망치한(脣亡齒寒)	『좌전』— 우나라가 길을 빌려주어 괵나라가 망하면 우나라도 위태롭다고 간한 데서.
啼笑皆非		울 수도 웃을 수도 없다	울어도 웃어도 다 아니다	제소개비(啼笑皆非)
囊萤映雪	náng yíng yìng xuě	가난 속에서도 애써 공부하다	반딧불을 주머니에 담고 눈빛에 비추어 읽다	형설지공(螢雪之功)	차윤은 반딧불을, 손강은 눈빛을 등 삼아 책을 읽었다는 고사.
四面楚歌		사방이 적이라 고립무원이다	사방에서 초나라 노래가 들리다	사면초가(四面楚歌)	해하에서 포위된 항우가 사방에서 초나라 노래를 듣고 민심이 떠난 것을 알았다는 고사.
因势利导		형세를 타서 이끌다	형세를 따라 이롭게 이끌다	인세이도(因勢利導)
因地制宜		지역 사정에 맞게 하다	땅에 따라 알맞게 정하다	인지제의(因地制宜)
因小失大		작은 것을 아끼려다 큰 것을 잃다	작은 것 때문에 큰 것을 잃다	소탐대실(小貪大失)
因材施教		재능에 맞춰 가르치다	재목에 따라 가르침을 베풀다	인재시교(因材施敎)
坐井观天		식견이 좁다	우물에 앉아 하늘을 보다	좌정관천(坐井觀天)
坚定不移		흔들림 없이 굳건하다	굳게 정해 옮기지 않다	견정불이(堅定不移)
塞翁失马		화가 복이 되기도 한다	변방 노인이 말을 잃다	새옹지마(塞翁之馬)	『회남자』— 노인이 말을 잃은 것이 복이 되고 그 복이 다시 화가 된 이야기.
奋不顾身		제 몸을 돌보지 않고 뛰어들다	분발하여 몸을 돌보지 않다	분불고신(奮不顧身)
好高骛远		분수에 넘치는 것만 좇다	높은 것을 좋아하고 먼 것을 좇다	호고무원(好高騖遠)
妇孺皆知		아녀자와 아이도 다 안다	부녀자와 아이가 모두 안다	부유개지(婦孺皆知)
始终如一		처음과 끝이 한결같다	처음도 끝도 하나같다	시종여일(始終如一)
姹紫嫣红		갖가지 꽃이 흐드러지게 피다	고운 자줏빛과 어여쁜 붉은빛	차자언홍(奼紫嫣紅)
孜孜不倦		부지런히 힘써 게으르지 않다	부지런하여 지치지 않다	자자불권(孜孜不倦)
孤军奋战		홀로 외롭게 분투하다	외로운 군대가 힘써 싸우다	고군분투(孤軍奮鬪)
学富五车		학식이 매우 넓다	배움이 다섯 수레에 가득하다	학부오거(學富五車)	『장자』— 혜시의 장서가 다섯 수레였다는 데서.
学而不厌		배움에 싫증 내지 않다	배우되 싫어하지 않다	학이불염(學而不厭)	『논어』— 학이불염 회인불권(學而不厭 誨人不倦)에서.
守口如瓶		입이 무겁다	입을 병마개처럼 막다	수구여병(守口如甁)
完璧归赵		빌린 것을 온전히 돌려주다	구슬을 온전히 조나라로 돌려보내다	완벽귀조(完璧歸趙)	인상여가 진나라에 가져간 화씨벽을 흠 없이 조나라로 되가져온 고사. '완벽(完璧)'의 유래.
