密密麻麻	mì mì má má	빽빽하게 들어차다	빽빽하고 촘촘하다	밀밀마마(密密麻麻)
旁敲侧击		에둘러 넌지시 떠보다	옆에서 두드리고 곁에서 치다	방고측격(旁敲側擊)
无声无息		소리 소문 없이	소리도 없고 기척도 없다	무성무식(無聲無息)
日积月累		나날이 쌓여 가다	날로 쌓이고 달로 쌓이다	일적월루(日積月累)
有口皆碑		누구나 입을 모아 칭송하다	입마다 모두 비석이 되다	유구개비(有口皆碑)
望梅止渴		헛된 상상으로 잠시 위안 삼다	매실을 떠올려 갈증을 멈추다	망매지갈(望梅止渴)	조조가 목마른 병사들에게 앞에 매실 숲이 있다고 하자 입에 침이 돌아 행군했다는 고사.
未雨绸缪		미리 대비하다	비 오기 전에 창문을 얽어매다	유비무환(有備無患)	『시경』— 장맛비 전에 뽕나무 뿌리로 둥지를 손보라는 구절에서.
本末倒置		본말이 뒤바뀌다	뿌리와 가지를 거꾸로 놓다	본말전도(本末顚倒)
杯弓蛇影		공연한 의심으로 스스로를 괴롭히다	잔에 비친 활 그림자를 뱀으로 보다	배궁사영(杯弓蛇影)	술잔에 비친 활 그림자를 뱀으로 오해해 병이 났다가, 사실을 알고 나았다는 이야기.
栩栩如生		살아 있는 듯 생생하다	훨훨 살아 있는 듯하다	허허여생(栩栩如生)	『장자』 호접지몽의 "栩栩然胡蝶也"에서.
欢天喜地		뛸 듯이 기뻐하다	하늘도 즐겁고 땅도 기쁘다	환천희지(歡天喜地)
水滴石穿		작은 노력도 쌓이면 큰일을 이룬다	물방울이 돌을 뚫다	수적석천(水滴石穿)
沉默寡言		말수가 적다	잠잠하고 말이 적다	침묵과언(沈默寡言)
泰然自若		태연자약하다	태연히 스스로 그대로다	태연자약(泰然自若)
洛阳纸贵		저작이 널리 읽혀 크게 인기를 끌다	낙양의 종잇값이 오르다	낙양지귀(洛陽紙貴)	좌사의 「삼도부」를 다투어 베끼느라 낙양의 종잇값이 뛰었다는 고사.
淋漓尽致		남김없이 속속들이 드러내다	흠뻑 젖도록 다하다	임리진치(淋漓盡致)
温故知新		옛것을 익혀 새것을 알다	옛것을 데워 새것을 알다	온고지신(溫故知新)	『논어』— 온고이지신 가이위사의(溫故而知新 可以爲師矣)에서.
源远流长		근원이 깊어 오래 이어지다	근원이 멀고 흐름이 길다	원원유장(源遠流長)
满腹经纶		경륜이 가득하다	배 속 가득 경륜이 있다	만복경륜(滿腹經綸)
滥竽充数		실력도 없이 수만 채우다	우(피리)를 함부로 불어 머릿수를 채우다	남우충수(濫竽充數)	『한비자』— 제 선왕의 합주단에 끼어 불지도 못하면서 자리만 채우던 남곽 처사 이야기.
灰心丧气		맥이 빠져 의욕을 잃다	마음이 재가 되고 기가 꺾이다	회심상기(灰心喪氣)
热火朝天		열기가 하늘을 찌르다	뜨거운 불길이 하늘로 향하다	열화조천(熱火朝天)
熟能生巧		익숙해지면 요령이 생긴다	익으면 재주가 생긴다	숙능생교(熟能生巧)
狐假虎威		남의 권세를 빌려 위세를 부리다	여우가 호랑이의 위엄을 빌리다	호가호위(狐假虎威)	『전국책』— 여우가 자기 뒤를 따르는 호랑이 덕에 짐승들이 달아나는 것을 제 위엄이라 속인 이야기.
班门弄斧		전문가 앞에서 어설픈 재주를 뽐내다	노반의 문 앞에서 도끼를 놀리다	반문농부(班門弄斧)	명장 노반의 집 앞에서 도끼질 솜씨를 자랑한다는 데서.
琳琅满目		좋은 것이 눈앞에 가득하다	아름다운 옥이 눈에 가득하다	임랑만목(琳琅滿目)
白手起家		맨손으로 일으키다	맨손으로 집안을 일으키다	자수성가(自手成家)
百折不挠		백 번 꺾여도 굽히지 않다	백 번 꺾여도 휘지 않다	백절불굴(百折不屈)
目不暇接		볼 것이 많아 눈이 바쁘다	눈이 미처 다 받아들이지 못하다	목불가접(目不暇接)
目不识丁		낫 놓고 기역 자도 모르다	눈으로 '丁' 자도 못 알아보다	목불식정(目不識丁)
目光短浅		식견이 짧다	눈빛이 짧고 얕다	목광단천(目光短淺)
直言不讳		거리낌 없이 바른말을 하다	곧게 말하고 숨기지 않다	직언불휘(直言不諱)
相见恨晚		진작 못 만난 것이 아쉽다	서로 만남이 늦은 것을 한하다	상견한만(相見恨晚)
眉飞色舞		신이 나서 얼굴이 환하다	눈썹이 날고 낯빛이 춤추다	미비색무(眉飛色舞)
眼高手低		눈은 높으나 솜씨는 못 따르다	눈은 높고 손은 낮다	안고수비(眼高手卑)
瞠目结舌		어이없어 말문이 막히다	눈만 크게 뜨고 혀가 굳다	당목결설(瞠目結舌)
瞬息万变		눈 깜짝할 새 크게 변하다	숨 한 번 쉴 새 만 번 변하다	순식만변(瞬息萬變)
破釜沉舟		배수의 진을 치고 결사적으로 임하다	솥을 깨고 배를 가라앉히다	파부침주(破釜沈舟)	항우가 거록 싸움에서 솥을 부수고 배를 가라앉혀 물러설 길을 없앤 고사.
积少成多		티끌 모아 태산	적은 것이 쌓여 많아지다	적소성다(積少成多)
精卫填海		불가능해 보여도 굽히지 않고 계속하다	정위새가 바다를 메우다	정위전해(精衛塡海)	바다에 빠져 죽은 염제의 딸이 새가 되어 돌을 물어다 바다를 메우려 했다는 신화.
纸醉金迷		호화롭고 사치스러운 생활에 빠지다	종이에 취하고 금에 홀리다	지취금미(紙醉金迷)
美不胜收		아름다운 것이 너무 많아 다 볼 수 없다	아름다움을 다 거둘 수 없다	미불승수(美不勝收)
耳濡目染		보고 듣는 사이에 물들다	귀로 젖고 눈으로 물들다	이유목염(耳濡目染)
肝胆相照		간담을 서로 비추듯 진심으로 대하다	간과 쓸개를 서로 비추다	간담상조(肝膽相照)
脚踏实地		착실하게 발을 딛고 나아가다	발로 실제 땅을 밟다	각답실지(脚踏實地)
自食其力		제 힘으로 벌어먹다	제 힘으로 먹다	자식기력(自食其力)
舍己为人		자기를 버리고 남을 위하다	자기를 버려 남을 위하다	사기위인(捨己爲人)
舍本逐末		근본을 버리고 지엽을 좇다	뿌리를 버리고 끝을 좇다	사본축말(捨本逐末)
茅塞顿开		막혔던 것이 확 트이다	띠풀로 막힌 것이 단번에 열리다	모색돈개(茅塞頓開)	『맹자』— 마음이 띠풀로 막힌 듯하다는 비유에서.
落井下石		남의 어려움에 오히려 해를 끼치다	우물에 빠진 사람에게 돌을 던지다	하정투석(下井投石)
蒸蒸日上		날로 번창하다	김이 오르듯 날로 오르다	증증일상(蒸蒸日上)
螳螂捕蝉		눈앞 이익만 보다 뒤의 화를 모르다	사마귀가 매미를 노리다(뒤에선 참새가 사마귀를 노린다)	당랑포선(螳螂捕蟬)	매미를 노리는 사마귀, 그 사마귀를 노리는 참새 이야기(螳螂捕蟬, 黃雀在後).
表里如一		겉과 속이 한결같다	겉과 속이 하나 같다	표리여일(表裏如一)
言简意赅		말은 간결하고 뜻은 다 담기다	말이 간략해도 뜻이 갖추어지다	언간의해(言簡意賅)
言而有信		말에 신의가 있다	말하면 믿음이 있다	언이유신(言而有信)
言行一致		말과 행동이 일치하다	말과 행동이 하나로 맞다	언행일치(言行一致)
诲人不倦		남을 가르치기를 게을리하지 않다	사람 가르치기에 지치지 않다	회인불권(誨人不倦)	『논어』— 학이불염 회인불권(學而不厭 誨人不倦)에서.
豁然开朗		갑자기 환하게 트이다	훤히 열려 밝아지다	활연개랑(豁然開朗)	도연명 「도화원기」— 좁은 굴을 지나자 눈앞이 확 트였다는 대목에서.
邯郸学步		남을 어설피 흉내 내다 제 것마저 잃다	한단에서 걸음걸이를 배우다	한단지보(邯鄲之步)	『장자』— 한단 사람의 걸음을 배우려던 연나라 청년이 제 걸음마저 잊고 기어 돌아왔다는 이야기.
锦上添花		좋은 일에 더 좋은 일이 겹치다	비단 위에 꽃을 더하다	금상첨화(錦上添花)
门庭若市		문전성시를 이루다	문 앞뜰이 저잣거리 같다	문전성시(門前成市)	『전국책』— 제 위왕이 간언을 구하자 찾아오는 이가 저잣거리 같았다는 데서.
闻鸡起舞		뜻을 세우고 부지런히 정진하다	닭 울음을 듣고 일어나 검을 휘두르다	문계기무(聞鷄起舞)	조적과 유곤이 닭이 울면 일어나 검술을 익혔다는 고사.
防患未然		일이 터지기 전에 미리 막다	화를 아직 그러하기 전에 막다	방환미연(防患未然)
随机应变		상황에 따라 임기응변하다	기미에 따라 변화에 응하다	임기응변(臨機應變)
集思广益		여러 의견을 모아 이롭게 하다	생각을 모아 이익을 넓히다	집사광익(集思廣益)	제갈량이 「교여군사장사서」에서 쓴 말.
雪中送炭		어려울 때 요긴한 도움을 주다	눈 속에 숯을 보내다	설중송탄(雪中送炭)
青出于蓝	qīng chū yú lán	제자가 스승보다 낫다	푸른색은 쪽에서 나왔으나 쪽보다 푸르다	청출어람(靑出於藍)	『순자』— 청취지어람 이청어람(靑取之於藍 而靑於藍)에서.
高山流水	gāo shān liú shuǐ	자기를 알아주는 벗, 빼어난 음악	높은 산과 흐르는 물	고산유수(高山流水)	백아의 거문고를 종자기만이 알아들었다는 지음(知音) 고사.
鸟语花香		새 울고 꽃 향기 나는 봄 경치	새는 지저귀고 꽃은 향기롭다	조어화향(鳥語花香)
鼠目寸光		앞을 내다보지 못하다	쥐 눈에 한 치 앞	서목촌광(鼠目寸光)
龙马精神		나이 들어도 원기 왕성하다	용마와 같은 정신	용마정신(龍馬精神)
